message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,notify,business_update,The sender has a strong history of being opened and replied to by this user.,0.937285,"message_0243,message_0102,message_0101"
msg_091,mute,scam,"The message shows scam-risk signals (payment or credential request (OTP, password, bank details, or similar)) and is muted regardless of sender history.",0.671,message_0238
msg_090,digest,unknown,"The sender is unfamiliar, and the message shows no urgency, payment pressure, or safety risk.",0.8,none
msg_048,mute,urgent,"Similar historical messages were ignored, dismissed, or muted by this user.",0.628487,"message_0151,message_0150,message_0100"
msg_040,mute,forward,The sender has a pattern of repeated forwards that this user usually ignores.,0.66281,"message_0136,message_0135"
msg_075,notify,business_update,The sender has a strong history of being opened and replied to by this user.,0.867901,"message_0206,message_0205"
msg_005,notify,personal,The sender has a strong history of being opened and replied to by this user.,0.943192,"message_0065,message_0382,message_0231"
msg_104,digest,personal,"Similar historical messages were ignored, dismissed, or muted by this user.",0.946798,"message_0224,message_0383,message_0232"
msg_069,mute,greeting,"Similar historical messages were ignored, dismissed, or muted by this user.",0.715603,"message_0080,message_0177,message_0193"
msg_107,mute,scam,"The message shows scam-risk signals (payment or credential request (OTP, password, bank details, or similar)) and is muted regardless of sender history.",0.732249,"message_0235,message_0195,message_0056"
msg_070,mute,scam,"The message shows scam-risk signals (payment or credential request (OTP, password, bank details, or similar)) and is muted regardless of sender history.",0.675733,"message_0369,message_0235,message_0195"
msg_003,notify,business_update,The sender has a strong history of being opened and replied to by this user.,1.0,"message_0400,message_0031,message_0061"
msg_099,notify,personal,The sender has a strong history of being opened and replied to by this user.,0.891713,"message_0227,message_0249,message_0055"
msg_008,digest,business_update,"This arrived during the user's quiet hours, so it is held back rather than delivered now.",0.954592,"message_0296,message_0072,message_0071"
msg_092,digest,payment,"This payment message shows no urgency, payment pressure, or safety risk for this user.",0.8,none
msg_060,notify,promotion,The sender has a strong history of being opened and replied to by this user.,0.98107,"message_0284,message_0176,message_0375"
msg_004,notify,event,The sender has a strong history of being opened and replied to by this user.,1.0,"message_0005,message_0245,message_0064"
msg_030,mute,promotion,"Similar historical messages were ignored, dismissed, or muted by this user.",0.966538,"message_0115,message_0335,message_0050"
msg_045,notify,personal,The sender has a strong history of being opened and replied to by this user.,0.812206,message_0146
msg_052,mute,scam,The message shows scam-risk signals (sender is an unverified business account) and is muted regardless of sender history.,0.918374,"message_0208,message_0207,message_0159"
msg_009,digest,personal,"This group is muted by the user, and there is no direct mention to override that.",0.882892,"message_0074,message_0073"
msg_071,digest,personal,This matches a pattern of similar past messages from this source.,0.830105,message_0197
msg_016,mute,urgent,"Similar historical messages were ignored, dismissed, or muted by this user.",0.673506,"message_0024,message_0201,message_0183"
msg_065,digest,promotion,This matches a pattern of similar past messages from this source.,0.909176,"message_0261,message_0185"
msg_038,mute,forward,The sender has a pattern of repeated forwards that this user usually ignores.,0.662492,"message_0131,message_0132"
msg_086,digest,business_update,"The message has some risk signals (sender domain 'link.wame.pro' does not match the business's official domain 'thrillophilia.com') that lower its priority, though not enough to mute it outright.",0.675,none
msg_014,mute,promotion,"Similar historical messages were ignored, dismissed, or muted by this user.",0.9,"message_0018,message_0258,message_0017"
msg_094,digest,promotion,"This promotion message shows no urgency, payment pressure, or safety risk for this user.",0.8,none
msg_029,digest,promotion,"The message has some risk signals (forwarded_count is 8, a mass-forward level) that lower its priority, though not enough to mute it outright.",0.726301,"message_0113,message_0095,message_0332"
